here
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
L1D.REPLACEMENT 0 0
L2_LINES_IN.ALL 0 0
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
INST_RETIRED 0 0
